TEAM_ID,TEAM_NAME,RAM,RAA,RA_PCT,PAINTM,PAINTA,PAINT_PCT,MIDM,MIDA,MID_PCT,LEFTM,LEFTA,LEFT_PCT,RIGHTM,RIGHTA,RIGHT_PCT,BREAKM,BREAKA,BREAK_PCT,Year
1610612737,Atlanta Hawks,1676,2744,0.611,421,1113,0.378,231,636,0.363,137,367,0.373,179,441,0.406,748,2203,0.34,2019
1610612738,Boston Celtics,1371,2129,0.644,465,1089,0.427,583,1378,0.423,123,294,0.418,87,308,0.282,822,2218,0.371,2019
1610612739,Cleveland Cavaliers,1322,2214,0.597,502,1303,0.385,519,1281,0.405,118,296,0.399,73,228,0.32,655,1851,0.354,2019
1610612740,New Orleans Pelicans,1762,2723,0.647,625,1441,0.434,358,958,0.374,104,274,0.38,82,257,0.319,650,1898,0.342,2019
1610612741,Chicago Bulls,1503,2503,0.6,579,1394,0.415,441,1190,0.371,111,285,0.389,84,201,0.418,548,1618,0.339,2019
1610612742,Dallas Mavericks,1405,2163,0.65,421,1078,0.391,334,882,0.379,116,294,0.395,119,317,0.375,786,2362,0.333,2019
1610612743,Denver Nuggets,1504,2377,0.633,634,1463,0.433,404,983,0.411,111,288,0.385,95,231,0.411,690,2025,0.341,2019
1610612744,Golden State Warriors,1381,2038,0.678,392,896,0.438,752,1604,0.469,135,314,0.43,113,269,0.42,837,2221,0.377,2019
1610612745,Houston Rockets,1381,2166,0.638,345,885,0.39,171,396,0.432,142,384,0.37,203,551,0.368,975,2773,0.352,2019
1610612746,LA Clippers,1543,2548,0.606,558,1363,0.409,464,1156,0.401,107,269,0.398,86,199,0.432,626,1627,0.385,2019
1610612747,Los Angeles Lakers,1899,2938,0.646,382,1035,0.369,363,914,0.397,97,285,0.34,100,281,0.356,650,1961,0.331,2019
1610612748,Miami Heat,1499,2395,0.626,507,1271,0.399,317,898,0.353,170,405,0.42,104,323,0.322,653,1910,0.342,2019
1610612749,Milwaukee Bucks,1850,2793,0.662,335,861,0.389,265,686,0.386,115,309,0.372,127,325,0.391,863,2489,0.347,2019
1610612750,Minnesota Timberwolves,1515,2410,0.629,515,1310,0.393,561,1414,0.397,109,280,0.389,98,260,0.377,615,1794,0.343,2019
1610612751,Brooklyn Nets,1548,2528,0.612,451,1200,0.376,261,672,0.388,109,283,0.385,109,304,0.359,822,2357,0.349,2019
1610612752,New York Knicks,1423,2456,0.579,383,1027,0.373,508,1344,0.378,70,207,0.338,80,228,0.351,670,1972,0.34,2019
1610612753,Orlando Magic,1337,2092,0.639,468,1152,0.406,575,1432,0.402,123,333,0.369,79,197,0.401,734,2078,0.353,2019
1610612754,Indiana Pacers,1552,2489,0.624,451,1058,0.426,609,1510,0.403,124,286,0.434,92,218,0.422,561,1564,0.359,2019
1610612755,Philadelphia 76ers,1555,2361,0.659,470,1167,0.403,495,1236,0.4,77,187,0.412,99,280,0.354,711,1991,0.357,2019
1610612756,Phoenix Suns,1506,2384,0.632,534,1241,0.43,460,1142,0.403,100,293,0.341,96,296,0.324,592,1794,0.33,2019
1610612757,Portland Trail Blazers,1617,2678,0.604,404,981,0.412,545,1251,0.436,82,211,0.389,65,196,0.332,757,2102,0.36,2019
1610612758,Sacramento Kings,1552,2464,0.63,574,1468,0.391,490,1252,0.391,111,277,0.401,95,244,0.389,719,1915,0.375,2019
1610612759,San Antonio Spurs,1146,1759,0.652,627,1380,0.454,883,2039,0.433,92,204,0.451,102,221,0.462,618,1630,0.379,2019
1610612760,Oklahoma City Thunder,1722,2785,0.618,402,1087,0.37,442,1162,0.38,118,338,0.349,153,383,0.399,658,1930,0.341,2019
1610612761,Toronto Raptors,1501,2349,0.639,487,1135,0.429,458,1053,0.435,171,403,0.424,166,388,0.428,677,1962,0.345,2019
1610612762,Utah Jazz,1656,2544,0.651,385,1023,0.376,280,724,0.387,168,424,0.396,149,414,0.36,675,1934,0.349,2019
1610612763,Memphis Grizzlies,1340,2166,0.619,560,1369,0.409,403,1021,0.395,111,298,0.372,96,278,0.345,603,1778,0.339,2019
1610612764,Washington Wizards,1681,2523,0.666,371,944,0.393,475,1189,0.399,97,303,0.32,132,324,0.407,700,2092,0.335,2019
1610612765,Detroit Pistons,1387,2284,0.607,451,1219,0.37,355,883,0.402,157,410,0.383,132,349,0.378,703,2064,0.341,2019
1610612766,Charlotte Hornets,1440,2424,0.594,478,1169,0.409,402,989,0.406,114,311,0.367,118,260,0.454,743,2172,0.342,2019
1610612737,Atlanta Hawks,1346,2214,0.608,347,965,0.36,523,1298,0.403,141,356,0.396,140,304,0.461,633,1856,0.341,2018
1610612738,Boston Celtics,1227,2072,0.592,405,1068,0.379,572,1346,0.425,119,279,0.427,109,275,0.396,709,1917,0.37,2018
1610612739,Cleveland Cavaliers,1523,2222,0.685,291,788,0.369,518,1309,0.396,147,357,0.412,141,342,0.412,691,1919,0.36,2018
1610612740,New Orleans Pelicans,1573,2419,0.65,575,1246,0.461,516,1267,0.407,120,305,0.393,109,271,0.402,607,1719,0.353,2018
1610612741,Chicago Bulls,1252,2114,0.592,460,1166,0.395,552,1458,0.379,96,253,0.379,88,237,0.371,722,2042,0.354,2018
1610612742,Dallas Mavericks,1189,1910,0.623,403,1016,0.397,570,1429,0.399,104,265,0.392,93,204,0.456,769,2198,0.35,2018
1610612743,Denver Nuggets,1489,2349,0.634,520,1263,0.412,390,958,0.407,89,226,0.394,100,220,0.455,750,2060,0.364,2018
1610612744,Golden State Warriors,1395,2043,0.683,413,920,0.449,776,1650,0.47,87,222,0.392,72,175,0.411,766,1943,0.394,2018
1610612745,Houston Rockets,1418,2207,0.643,251,667,0.376,250,563,0.444,156,385,0.405,168,433,0.388,930,2634,0.353,2018
1610612746,LA Clippers,1701,2698,0.63,440,1123,0.392,384,988,0.389,97,290,0.334,75,213,0.352,604,1677,0.36,2018
1610612747,Los Angeles Lakers,1694,2657,0.638,432,1146,0.377,392,1065,0.368,85,222,0.383,76,188,0.404,659,1953,0.337,2018
1610612748,Miami Heat,1424,2241,0.635,418,1067,0.392,439,1184,0.371,109,300,0.363,149,369,0.404,645,1819,0.355,2018
1610612749,Milwaukee Bucks,1526,2365,0.645,416,1006,0.414,598,1415,0.423,96,244,0.393,126,302,0.417,495,1463,0.338,2018
1610612750,Minnesota Timberwolves,1390,2108,0.659,628,1402,0.448,690,1712,0.403,106,276,0.384,69,165,0.418,482,1388,0.347,2018
1610612751,Brooklyn Nets,1343,2177,0.617,454,1195,0.38,299,823,0.363,118,325,0.363,113,301,0.375,809,2281,0.355,2018
1610612752,New York Knicks,1384,2210,0.626,531,1219,0.436,746,1849,0.403,103,239,0.431,56,152,0.368,514,1504,0.342,2018
1610612753,Orlando Magic,1398,2132,0.656,471,1281,0.368,470,1230,0.382,106,278,0.381,58,173,0.335,678,1938,0.35,2018
1610612754,Indiana Pacers,1407,2262,0.622,426,1001,0.426,772,1812,0.426,91,242,0.376,104,216,0.481,545,1529,0.356,2018
1610612755,Philadelphia 76ers,1488,2215,0.672,447,1204,0.371,513,1235,0.415,62,180,0.344,92,211,0.436,747,2033,0.367,2018
1610612756,Phoenix Suns,1469,2444,0.601,420,1113,0.377,501,1297,0.386,106,274,0.387,76,230,0.33,581,1767,0.329,2018
1610612757,Portland Trail Blazers,1320,2273,0.581,445,1100,0.405,612,1451,0.422,83,222,0.374,80,202,0.396,682,1880,0.363,2018
1610612758,Sacramento Kings,1218,1969,0.619,566,1465,0.386,660,1670,0.395,93,244,0.381,81,179,0.453,561,1511,0.371,2018
1610612759,San Antonio Spurs,1295,2029,0.638,500,1251,0.4,713,1746,0.408,96,242,0.397,95,233,0.408,503,1482,0.339,2018
1610612760,Oklahoma City Thunder,1496,2423,0.617,305,763,0.4,592,1547,0.383,105,283,0.371,124,332,0.373,649,1852,0.35,2018
1610612761,Toronto Raptors,1542,2374,0.65,452,1079,0.419,423,1016,0.416,144,393,0.366,127,297,0.428,694,1991,0.349,2018
1610612762,Utah Jazz,1411,2190,0.644,408,1086,0.376,434,1098,0.395,152,366,0.415,137,326,0.42,597,1717,0.348,2018
1610612763,Memphis Grizzlies,1386,2321,0.597,349,989,0.353,522,1328,0.393,79,230,0.343,71,197,0.36,606,1697,0.357,2018
1610612764,Washington Wizards,1239,1940,0.639,494,1172,0.422,728,1737,0.419,75,214,0.35,91,222,0.41,648,1717,0.377,2018
1610612765,Detroit Pistons,1316,2125,0.619,470,1326,0.354,536,1309,0.409,100,266,0.376,123,300,0.41,662,1784,0.371,2018
1610612766,Charlotte Hornets,1329,2172,0.612,464,1156,0.401,580,1546,0.375,68,191,0.356,64,171,0.374,692,1849,0.374,2018
1610612737,Atlanta Hawks,1462,2441,0.599,290,783,0.37,642,1557,0.412,83,239,0.347,113,273,0.414,532,1608,0.331,2017
1610612738,Boston Celtics,1364,2237,0.61,349,836,0.417,470,1163,0.404,116,299,0.388,135,321,0.421,732,2098,0.349,2017
1610612739,Cleveland Cavaliers,1349,2084,0.647,270,704,0.384,589,1395,0.422,192,439,0.437,159,405,0.393,714,1922,0.371,2017
1610612740,New Orleans Pelicans,1346,2224,0.605,463,1092,0.424,633,1618,0.391,106,272,0.39,81,224,0.362,579,1684,0.344,2017
1610612741,Chicago Bulls,1306,2212,0.59,468,1091,0.429,772,2007,0.385,130,290,0.448,91,252,0.361,402,1277,0.315,2017
1610612742,Dallas Mavericks,941,1522,0.618,403,897,0.449,746,1858,0.402,91,242,0.376,96,262,0.366,690,1951,0.354,2017
1610612743,Denver Nuggets,1609,2653,0.606,434,969,0.448,464,1207,0.384,95,269,0.353,81,195,0.415,694,1878,0.37,2017
1610612744,Golden State Warriors,1559,2328,0.67,353,807,0.437,638,1443,0.442,111,258,0.43,114,289,0.394,755,1983,0.381,2017
1610612745,Houston Rockets,1647,2549,0.646,268,718,0.373,209,579,0.361,117,311,0.376,147,372,0.395,914,2602,0.351,2017
1610612746,LA Clippers,1355,2114,0.641,282,717,0.393,764,1744,0.438,107,246,0.435,92,235,0.391,631,1716,0.368,2017
1610612747,Los Angeles Lakers,1455,2403,0.605,502,1244,0.404,537,1407,0.382,95,253,0.375,87,233,0.373,539,1584,0.34,2017
1610612748,Miami Heat,1363,2233,0.61,488,1162,0.42,543,1429,0.38,142,335,0.424,133,348,0.382,531,1510,0.352,2017
1610612749,Milwaukee Bucks,1602,2566,0.624,392,996,0.394,468,1207,0.388,98,271,0.362,122,297,0.411,493,1352,0.365,2017
1610612750,Minnesota Timberwolves,1437,2300,0.625,435,996,0.437,762,1903,0.4,104,270,0.385,78,199,0.392,419,1242,0.337,2017
1610612751,Brooklyn Nets,1439,2435,0.591,443,1045,0.424,343,915,0.375,102,300,0.34,114,274,0.416,660,1995,0.331,2017
1610612752,New York Knicks,1305,2283,0.572,351,873,0.402,884,2078,0.425,106,254,0.417,96,223,0.43,501,1520,0.33,2017
1610612753,Orlando Magic,1245,2065,0.603,486,1164,0.418,707,1764,0.401,63,218,0.289,60,191,0.314,577,1704,0.339,2017
1610612754,Indiana Pacers,1206,1979,0.609,511,1142,0.447,795,1925,0.413,114,292,0.39,91,214,0.425,494,1348,0.366,2017
1610612755,Philadelphia 76ers,1465,2405,0.609,353,915,0.386,439,1229,0.357,96,220,0.436,69,186,0.371,660,2015,0.328,2017
1610612756,Phoenix Suns,1477,2433,0.607,469,1114,0.421,709,1859,0.381,88,268,0.328,80,247,0.324,447,1317,0.339,2017
1610612757,Portland Trail Blazers,1333,2311,0.577,404,944,0.428,654,1532,0.427,80,232,0.345,95,234,0.406,675,1787,0.378,2017
1610612758,Sacramento Kings,1302,2120,0.614,462,1136,0.407,604,1518,0.398,95,242,0.393,103,237,0.435,534,1458,0.366,2017
1610612759,San Antonio Spurs,1188,1902,0.625,434,1010,0.43,847,2025,0.418,116,259,0.448,116,281,0.413,521,1373,0.379,2017
1610612760,Oklahoma City Thunder,1622,2701,0.601,423,979,0.432,500,1371,0.365,92,253,0.364,98,295,0.332,499,1550,0.322,2017
1610612761,Toronto Raptors,1262,2056,0.614,532,1198,0.444,692,1667,0.415,116,321,0.361,98,242,0.405,510,1418,0.36,2017
1610612762,Utah Jazz,1350,2160,0.625,403,950,0.424,489,1277,0.383,121,315,0.384,113,296,0.382,556,1502,0.37,2017
1610612763,Memphis Grizzlies,1235,2188,0.564,424,1058,0.401,558,1439,0.388,92,218,0.422,83,214,0.388,590,1702,0.347,2017
1610612764,Washington Wizards,1427,2321,0.615,419,971,0.432,786,1815,0.433,86,255,0.337,98,273,0.359,569,1484,0.383,2017
1610612765,Detroit Pistons,1212,1972,0.615,557,1366,0.408,869,2029,0.428,81,206,0.393,68,186,0.366,480,1489,0.322,2017
1610612766,Charlotte Hornets,1250,2092,0.598,385,946,0.407,634,1615,0.393,67,184,0.364,55,142,0.387,701,2003,0.35,2017
